customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Churn,age,zipcode
6432-TWQLB,Male,0,Yes,No,5,Yes,33,45654
4484-GLZOU,Female,0,Yes,No,52,Yes,31,77076
3179-GBRWV,Male,1,Yes,No,21,No,67,61565
8645-KWHJO,Male,0,No,No,14,No,26,96488
4130-MZLCC,Female,0,No,No,5,No,21,52158
0314-TKOSI,Female,0,No,No,6,No,15,36868
8229-MYEJZ,Female,0,No,No,10,No,23,96409
2080-SRCDE,Female,0,No,Yes,1,No,52,67492
9577-WJVCQ,Female,0,No,No,68,No,29,29404
9512-UIBFX,Male,0,Yes,Yes,18,Yes,15,12601
6202-DYYFX,Female,0,No,No,22,No,32,67283
3808-HFKDE,Female,0,No,No,20,No,48,65079
5583-SXDAG,Male,0,Yes,No,1,Yes,35,68689
3488-PGMQJ,Male,1,No,No,8,Yes,63,19888
3580-REOAC,Male,0,No,No,10,Yes,19,85035
7534-BFESC,Male,1,No,No,24,Yes,66,25052
3727-OWVYD,Male,0,No,No,35,No,31,36459
2294-SALNE,Male,0,Yes,Yes,23,No,18,22414
4847-TAJYI,Female,1,No,No,6,No,76,93474
1563-IWQEX,Female,0,No,No,12,No,38,36874
8203-XJZRC,Male,0,No,No,1,No,26,35351
6556-DBKZF,Female,0,Yes,Yes,71,No,44,26370
6851-WEFYX,Male,1,Yes,No,35,No,75,62924
2985-JUUBZ,Male,0,Yes,Yes,40,No,26,25372
6390-DSAZX,Female,0,No,Yes,1,Yes,27,74213
0895-LMRSF,Male,0,No,No,23,No,54,38549
8098-LLAZX,Female,1,No,No,4,Yes,76,33495
8266-VBFQL,Male,0,No,No,4,No,50,42449
8181-YHCMF,Female,0,Yes,Yes,68,No,16,63754
2240-HSJQD,Male,0,No,Yes,38,No,42,79795
1248-DYXUB,Male,0,Yes,Yes,52,No,38,20698
0265-EDXBD,Male,1,Yes,No,32,Yes,74,25436
4115-BNPJY,Male,0,Yes,Yes,29,No,57,72053
3167-SNQPL,Male,1,Yes,Yes,38,No,61,11192
4091-TVOCN,Male,0,No,Yes,48,No,15,20161
1098-TDVUQ,Female,0,No,No,1,No,37,68921
7277-OZCGZ,Female,0,No,No,22,No,51,74202
1557-EMYVT,Female,0,No,No,43,No,47,92925
2799-ARNLO,Female,1,Yes,No,5,No,70,57964
7563-BIUPC,Male,0,No,No,5,Yes,59,69624
5027-YOCXN,Male,0,Yes,Yes,51,No,48,26588
3973-SKMLN,Male,0,No,No,71,No,35,29109
2321-OMBXY,Female,0,Yes,Yes,38,Yes,29,53734
2840-XANRC,Male,1,Yes,No,24,Yes,63,96629
6745-JEFZB,Male,0,Yes,No,35,No,56,40070
5020-ZSTTY,Female,1,No,No,54,Yes,65,19950
9880-TDQAC,Female,0,Yes,Yes,72,No,23,89874
8705-WZCYL,Male,0,No,No,1,No,38,32889
7102-JJVTX,Female,0,Yes,Yes,9,No,43,83312
8626-PTQGE,Male,0,No,No,69,No,44,65905
4983-CLMLV,Female,0,Yes,No,52,No,15,25996
5701-YVSVF,Female,1,Yes,No,11,No,74,17486
5804-LEPIM,Female,1,No,No,2,Yes,63,73819
5697-GOMBF,Female,1,Yes,Yes,28,No,69,18718
2739-CACDQ,Female,1,No,No,17,No,74,39198
9385-EHGDO,Female,0,Yes,Yes,35,No,32,52641
9498-FIMXL,Female,0,No,No,8,No,24,87785
2379-GYFLQ,Male,0,No,No,46,No,37,24588
0122-OAHPZ,Female,0,No,No,7,Yes,39,11471
2868-SNELZ,Female,0,No,No,2,Yes,48,53202
4322-RCYMT,Male,0,Yes,Yes,68,Yes,28,21762
6680-NENYN,Female,0,No,No,43,Yes,39,27670
2088-IEBAU,Female,0,No,No,68,No,33,20988
7982-VCELR,Female,0,No,No,36,No,29,99678
1343-EHPYB,Male,0,Yes,No,63,Yes,35,16123
6035-BXTTY,Female,1,No,No,32,No,76,78537
6885-PKOAM,Female,0,Yes,No,71,No,18,62587
7520-HQWJU,Female,0,Yes,Yes,66,No,31,80412
9639-BUJXT,Male,0,No,No,63,No,33,23401
5924-SNGKP,Female,0,No,Yes,41,No,50,26629
0021-IKXGC,Female,1,No,No,1,No,78,16964
2034-GDRCN,Female,0,No,No,2,Yes,51,94368
8966-SNIZF,Female,0,Yes,No,70,No,42,28753
6243-OZGFH,Female,0,No,No,23,No,16,92051
4654-DLAMQ,Female,1,Yes,No,64,No,70,86556
0513-RBGPE,Male,0,Yes,Yes,37,No,50,76266
5160-UXJED,Male,0,No,Yes,17,No,44,60454
4115-NZRKS,Female,1,No,No,7,No,60,85874
0219-YTZUE,Male,0,Yes,Yes,4,Yes,55,38258
0623-IIHUG,Female,1,No,No,21,Yes,79,48465
4572-DVCGN,Female,0,No,No,10,Yes,27,10118
3351-NGXYI,Female,1,No,No,16,No,74,57410
8984-EYLLL,Male,0,Yes,No,64,No,18,54717
9057-MSWCO,Male,1,Yes,No,27,Yes,76,49795
9833-TGFHX,Male,0,Yes,Yes,42,No,21,75678
9294-TDIPC,Male,0,No,Yes,5,No,24,35195
5229-DTFYB,Female,0,No,No,41,No,54,26813
0104-PPXDV,Male,0,Yes,No,58,No,22,37684
5176-LMJXE,Female,0,No,No,47,No,16,32710
3583-KRKMD,Male,0,No,No,18,No,44,25033
1010-DIAUQ,Male,0,No,No,5,Yes,42,53710
9069-LGEUL,Male,0,Yes,No,23,No,21,10794
7302-ZHMHP,Female,0,No,No,1,No,56,89880
9571-EDEBV,Male,0,Yes,No,71,No,21,64421
3520-FJGCV,Male,0,Yes,Yes,72,No,19,61214
6563-VRERX,Male,0,Yes,Yes,33,No,39,99415
0259-GBZSH,Male,0,No,No,2,Yes,32,10982
6122-EFVKN,Male,0,No,Yes,24,No,55,36962
2805-EDJPQ,Female,0,Yes,Yes,56,No,21,59743
6862-CQUMB,Male,0,No,No,37,No,19,89886
7156-MXBJE,Female,0,No,No,43,No,25,92032
6158-HDPXZ,Male,0,No,No,1,No,59,20297
9601-BRXPO,Female,0,Yes,No,25,Yes,47,87525
2863-IMQDR,Female,0,No,No,61,No,52,67552
5686-CMAWK,Male,0,No,No,17,No,43,57067
5651-CRHKQ,Female,0,Yes,No,41,No,30,89973
6905-NIQIN,Male,0,No,No,1,Yes,40,63321
8204-YJCLA,Male,1,Yes,Yes,72,No,66,20437
5167-ZFFMM,Male,0,No,No,1,Yes,53,76352
6583-SZVGP,Male,0,No,No,48,No,39,29330
4895-TMWIR,Male,1,Yes,No,11,Yes,69,16250
0533-BNWKF,Female,1,Yes,No,55,Yes,78,60112
1708-PBBOA,Female,0,No,No,42,No,19,89320
8782-LKFPK,Male,0,No,No,44,No,40,71615
5522-JBWMO,Male,0,No,Yes,1,No,45,59623
3597-MVHJT,Female,0,No,No,27,No,18,46163
9774-NRNAU,Male,1,Yes,No,27,No,68,62829
0224-RLWWD,Female,1,No,No,2,No,65,16192
9967-ATRFS,Female,0,No,No,19,No,47,20783
3951-NJCVI,Female,1,Yes,No,42,No,79,85858
2977-CEBSX,Female,0,No,No,66,No,16,68881
0177-PXBAT,Male,1,Yes,No,33,No,67,94544
6599-CEBNN,Female,0,No,No,34,Yes,53,39987
2519-ERQOJ,Male,1,No,No,33,No,65,51063
5876-QMYLD,Female,0,Yes,Yes,23,No,33,17523
2277-AXSDC,Female,0,No,No,32,No,36,99251
9442-JTWDL,Female,0,No,No,11,No,59,80871
0979-PHULV,Male,0,Yes,Yes,69,Yes,39,22969
3067-SVMTC,Female,0,Yes,No,68,No,43,55131
5495-GPSRW,Male,0,No,No,20,No,39,23146
7606-BPHHN,Male,0,No,No,72,No,38,62316
4742-DRORA,Male,0,Yes,Yes,60,No,34,73517
0111-KLBQG,Male,1,Yes,Yes,32,No,77,31239
4800-VHZKI,Female,0,No,No,1,Yes,45,60132
7989-CHGTL,Male,0,No,No,1,Yes,57,94599
0334-GDDSO,Male,1,No,No,3,Yes,77,66987
4163-NCJAK,Female,0,Yes,No,46,No,54,33367
5233-AOZUF,Female,0,Yes,No,29,No,40,16721
5973-EJGDP,Male,0,No,No,51,No,18,66530
1996-DBMUS,Female,1,Yes,No,48,No,76,78545
7916-VCCPB,Female,0,Yes,Yes,16,No,37,37960
4686-GEFRM,Male,0,Yes,No,70,No,58,99126
5249-QYHEX,Female,0,Yes,Yes,40,No,55,95738
0578-SKVMF,Female,0,Yes,Yes,22,Yes,54,19403
5564-NEMQO,Female,1,No,No,1,Yes,78,21175
2233-FAGXV,Female,0,Yes,Yes,5,No,32,94277
5605-IYGFG,Female,0,No,No,7,No,39,38392
7663-ZTEGJ,Male,0,No,Yes,29,No,22,58044
3935-TBRZZ,Male,0,Yes,Yes,44,No,33,59081
8111-BKVDS,Female,0,No,No,10,No,22,20279
2055-SIFSS,Female,1,Yes,No,55,No,69,68803
2806-MLNTI,Male,1,Yes,No,52,No,64,45458
8734-DKSTZ,Female,0,Yes,Yes,10,No,56,80849
4360-PNRQB,Male,0,No,No,18,No,47,29681
6152-ONASV,Female,0,Yes,No,68,No,46,77305
9063-ZGTUY,Female,0,Yes,Yes,61,Yes,28,77536
7781-HVGMK,Female,0,Yes,Yes,72,No,28,64645
2181-UAESM,Male,0,No,No,2,No,35,74755
2957-LOLHO,Male,0,No,No,12,Yes,45,45291
6048-NJXHX,Male,0,Yes,No,41,No,48,59919
2320-SLKMB,Female,0,No,No,26,No,35,17213
4980-URKXC,Male,0,Yes,No,36,No,24,94491
4376-KFVRS,Male,0,Yes,Yes,72,No,19,84419
5886-VLQVU,Male,0,Yes,No,35,No,46,65724
3577-AMVUX,Male,0,No,No,1,No,37,42695
0771-WLCLA,Female,0,Yes,Yes,16,No,46,13314
5628-RKIFK,Female,1,No,No,49,No,61,71241
0206-TBWLC,Female,0,Yes,No,54,No,31,20713
2937-FTHUR,Female,0,No,Yes,18,No,26,92343
1910-FMXJM,Female,0,Yes,No,36,No,58,58118
7752-XUSCI,Female,0,No,No,60,Yes,18,23060
4110-PFEUZ,Female,0,No,No,1,Yes,59,84429
0732-OCQOC,Female,0,Yes,Yes,52,No,56,45487
5168-MSWXT,Male,0,Yes,Yes,8,No,49,93423
1090-ESELR,Male,0,Yes,Yes,72,No,57,86994
8592-PLTMQ,Female,0,No,No,64,No,30,82347
5760-WRAHC,Female,1,No,No,22,No,68,59271
8847-GEOOQ,Male,0,Yes,No,60,No,35,27549
0256-LTHVJ,Female,0,Yes,Yes,28,Yes,56,11902
4785-FCIFB,Female,0,Yes,No,61,No,47,52307
8313-NDOIA,Female,0,No,No,24,No,22,35159
5149-CUZUJ,Male,0,Yes,Yes,28,No,39,14159
0942-KOWSM,Female,0,Yes,Yes,30,No,39,40144
4237-CLSMM,Male,0,Yes,No,2,No,51,61100
1452-VOQCH,Male,0,No,No,1,No,36,93136
4719-UMSIY,Male,0,No,Yes,6,No,52,45320
6614-VBEGU,Female,0,Yes,No,24,No,59,71538
0880-TKATG,Male,0,Yes,Yes,4,Yes,23,22311
3811-VBYBZ,Male,0,No,No,7,Yes,24,46620
1480-BKXGA,Male,1,Yes,No,72,No,65,92802
2996-XAUVF,Male,0,No,No,70,No,26,90898
9076-AXYIK,Male,1,Yes,No,64,No,69,36627
5968-XQIVE,Male,0,Yes,Yes,72,No,20,41511
8896-RAZCR,Female,0,No,Yes,44,No,47,12270
4640-UHDOS,Female,0,Yes,Yes,13,Yes,30,16756
4933-IKULF,Female,1,No,No,17,No,64,53556
3583-EKAPL,Male,0,No,No,1,Yes,42,22740
1304-BCCFO,Male,0,Yes,No,9,No,23,21548
4104-PVRPS,Male,0,Yes,No,24,No,38,11842
9399-APLBT,Female,0,Yes,Yes,1,Yes,29,14703
2359-KMGLI,Male,0,No,No,24,Yes,16,22933
3780-DDGSE,Male,1,Yes,Yes,35,No,64,70778
